,month,day,year,char_unknow,time_hour,time_minutes,operator,category_operator,ac_type,category_ac_type,country,route,aboard_people,fatalities_total,ground_deads,summary
136,December,28,1927,not c,Unknown,Unknown,Aeropostale,No category,Breguet 14,No category,Spain,Dakar - Casablanca - Alicante - Perpignan - Toulouse,1 ,1 ,0,A fire erupted aboard the mail plane while en route and crashed.
137,December,31,1927,not c,Unknown,Unknown,Latecoere Airlines,Air,Latécoère 23 (flying boat),No category,France,Test flight,5 ,5 ,0,"Suffered structural failure at an altitude of 1,000 ft."
138,January,08,1928,not c,Unknown,Unknown,Colonial Western Airlines,Air,Fairchild FC-2,No category,United States,Minola - Albany - Buffalo,3 ,3 ,0,Became lost in dense fog and flew into trees in the Mohawk Valley while proceeding to Buffalo..
139,January,16,1928,not c,Unknown,Unknown,Aeropostale,No category,Latecoere 25,No category,Uruguay,Buenos Aires - Montevideo,2 ,2 ,0,The wing on the mail plane detached from the aircraft and crashed into the sea.
140,January,22,1928,not c,Unknown,Unknown,Aeropostale,No category,Breguet 14,No category,Ariège,Toulouse - Perpignan - Alicante - Casablanca - Dakar,1 ,1 ,0,Crashed after experiencing mechanical difficulties.
141,January,22,1928,not c,Unknown,Unknown,Aeropostale,No category,Breguet 14,No category,Spain,Casablanca - Alicante - Perpignan - Toulouse,2 ,2 ,0,Crashed in unknown circumstances.
142,January,27,1928,not c,Unknown,Unknown,Aeropostale,No category,Breguet 14,No category,Spain,Casablanca - Alicante - Perpignan - Toulouse,1 ,1 ,0,After experiencing turbulence the pilot's seat belt broke and ejecting the pilot.
143,February,26,1928,not c,Unknown,Unknown,Boeing Air Transport,Transport,Boeing 40,Douglas,United States,Unknown,2 ,1 ,0,The air mail plane crashed into a grove of cottonwood trees and burned. Businessman F.H. Craig was killed and pilot Frank Yegar injured. The pilot descended in altitude due to air pockets.The plane then ran into an air pocket that brought the plane down into the grove of trees.
144,March,11,1928,not c,Unknown,Unknown,Air Union,Air,Farman F-60 Goliath,No category,France,Paris - Croydon,2 ,2 ,0,Crashed into the sea while delivering mail in poor weather.
145,April,17,1928,not c,Unknown,Unknown,Boeing Air Transport,Transport,Boeing 40,Douglas,United States,Unknown,2 ,1 ,0,Spatial disorientation after entering a snowstorm.
146,April,19,1928,not c,Unknown,Unknown,Iberia Airlines,Air,Rohrbach Roland,No category,Spain,Barcelona - Madrid,9 ,9 ,0,Crashed into a field after getting lost in fog.
147,May,07,1928,not c,Unknown,Unknown,Aeropostale,No category,Latecoere 26,No category,Brazil,Unknown,5 ,1 ,0,An in flight fire caused he pilot to lose control and crash in a field after which a fire erupted.
148,May,12,1928,not c,Unknown,Unknown,Ford Air Freight Inc.,Company,Ford 4,No category,United States,Dearborn - Buffalo,2 ,2 ,0,The cargo plane crashed on it’s inaugural flight. The pilot tried to become airborne without sufficient speed.
149,May,26,1928,not c,Unknown,Unknown,Deutsche Lufthansa,No category,Junkers F-13,No category,Germany,Essen - Dortmund - Frankfurt,5 ,3 ,0,"After taking off and encountering fog, the pilot decided to  to make a precautionary landing in a field but t hit a cow, crashed and burned. Pilot error."
150,June,14,1928,not c,Unknown,Unknown,Deutsche Lufthansa,No category,AEGK,No category,Germany,Unknown,5 ,5 ,0,"The ""Viper"" crashed for unknown reasons."
151,June,22,1928,not c,Unknown,Unknown,National Air Transport,Transport,Douglas M-4,No category,United States,Chicago - Dallas,1 ,1 ,0,The mail plane flew into tornado like winds and crashed in a field.
152,July,10,1928,not c,Unknown,Unknown,Aero O-Y,No category,Junkers F-13,No category,Over the Gulf of Finland,Tallinn - Helsinki,6 ,6 ,0,Crashed under unknown circumstances
153,July,13,1928,not c,Unknown,Unknown,Imperial Airways,Air,Vickers 74 Vulcan,No category,England,Testing,6 ,4 ,0,Crashed to the ground shortly after taking off killing two men and two women.
154,July,24,1928,not c,14,48,KLM Royal Dutch Airlines,Air,Fokker (KLM) F.III,No category,Netherlands,Sightseeing over Rotterdam,6 ,1 ,0,"The plane became airborne in a stalled condition, hit a shipsmast and crashed into the Waalhaven."
155,August,25,1928,c,11,00,British Columbia Airways,Air,Ford 4-AT-B Tri Motor,No category,Canada,Victoria - Seattle,7 ,7 ,0,Crashed into Puget Sound in dense fog 12 miles off Port Townsend.  Considered the first Canadian air disaster.
156,September,02,1928,c,9:,5,CIDNA,No category,Bleriot Spad 33,No category,France,Toul - Clermont-Ferrand,5 ,5 ,0,"After taking off the engine failed, the plane stalled and crashed."
157,September,04,1928,not c,Unknown,Unknown,Qantas,No category,de Havilland DH.50J,No category,Australia,Adelaide - Longreach,2 ,1 ,0,"Following the conclusion of an aerial tour carrying Sir John Salmond, the aircraft departed Adelaide piloted by C. W. A. Scott with an engineer as passenger. Control was lost in the cloud during an attempt to cross the Adelaide Hills; the aircraft encounted bad weather, crashed and caught fire."
158,September,04,1928,not c,11,30,National Parks Airways,Air,Fokker Super Universal,No category,United States,Great Falls - Pocatello - Salt Lake City,7 ,7 ,0,"While flying low and circling six times for a landing, the mail plane went into a nose dive when the pilot headed into the wind and crashed to the ground, rolling over several times."
159,September,06,1928,not c,Unknown,Unknown,Deutsche Lufthansa,No category,Fokker FG III,No category,Germany,Unknown,3 ,3 ,0,Crashed due to engine failure.
160,October,04,1928,not c,Unknown,Unknown,Aeropostale,No category,Breguet 14,No category,Spain,Casablanca - Alicante - Barcelona - Perpignan - Toulouse,3 ,3 ,0,"Encountered fog and crashed into a mountain slope near the monastery of Sant Pere de Rodes, south of Llancà,"
161,October,18,1928,not c,Unknown,Unknown,National Air Transport,Transport,Douglas M-4,No category,United States,Unknown,1 ,1 ,0,The mail plane crashed into a hill and burned during the night during poor weather conditons.
162,October,31,1928,not c,Unknown,Unknown,Air Union,Air,Bleriot Spad 56,No category,France,Paris - Lyon - Marseille,2 ,1 ,0,The pilot attempted an emergency landing in a muddy field and crashed.
163,November,15,1928,not c,Unknown,Unknown,Aeropostale,No category,Latecoere 32,No category,Off Gibraltar,Marseille - Palma de Majorca,3 ,1 ,0,The sea plane stuck a lightning mast and crashed into houses. Pilot error.
164,November,24,1928,not c,Unknown,Unknown,Universal Airlines,Air,Hamilton H-47,No category,United States,Cleveland - Chicago,3 ,3 ,0,The mail plane crashed in a heavy snow storm.
165,November,25,1928,not c,Unknown,Unknown,Continental Air Lines,Air,Travel Air 4000,No category,United States,Cleveland - Louisville,1 ,1 ,0,The mail plane crashed in a heavy snow storm
166,November,25,1928,not c,Unknown,Unknown,National Air Transport,Transport,Douglas M-4,No category,United States,Unknown,1 ,1 ,0,The mail plane crashed in a snow storm.
167,December,01,1928,c,10,00,Sunbeam Air Transport Co.,Transport,Ford 4-AT-B Tri Motor,No category,United States,San Antonio - Amarillo - Tulsa - Denver,5 ,5 ,0,The aircraft crashed and burned while en route. Flames were seen aboard the plane before it crashed. The plane was on a delivery flight.
168,December,03,1928,not c,08,00,Syndicato Condor,No category,Dornier Wal,No category,Brazil,Sightseeing,14 ,14 ,0,"The seaplane took off form the bay and narrowly avoided a collision with another plane and in the process veered sharply and so abruptly that one of the wings was strained beyond its elastic limits. The pilot then lost control of the aircraft and it fell, tail spinning 300 feet into the water where one of the engines exploded on impact. It sunk immediately."
169,December,10,1928,not c,10,45,Spokane Airways,Air,Unknown,No category,United States,Colfax - Spokane,5 ,5 ,0,The aircraft crashed while attempting to land in fog.
170,December,11,1928,not c,Unknown,Unknown,Deutsche Lufthansa,No category,Junkers G-31,No category,Germany,Cologne -  Berlin,4 ,3 ,0,"After a fuel line broke in flight, the pilot was forced to make an emergency landing in an open field. On landing, the aircraft crashed, overturned and came to rest in flames."
171,December,20,1928,not c,Unknown,Unknown,National Air Transport,Transport,Douglas M-4,No category,United States,Cleveland - Chicago,1 ,1 ,0,The mail plane crashed into an apple tree during a snow storm after the pilot experienced spatial disorientation.
172,December,23,1928,not c,Unknown,Unknown,Interstate Airlines,Air,Fairchild FC-2,No category,United States,Unknown,4 ,4 ,0,Crashed onto a roof and garage on takeoff and burst into flames. The motor may have not been warmed- up properly.
173,December,31,1928,not c,Unknown,Unknown,CIDNA,No category,Blériot Spad 66,No category,France,Strasbourg - Paris,3 ,2 ,0,Crashed into high ground in fog.
174,January,05,1929,not c,Unknown,Unknown,Colonial Air Transport,Transport,Fairchild FC-2,No category,United States,Unknown,1 ,1 ,0,Struck a mountain slope  in poor weather.
175,January,18,1929,not c,Unknown,Unknown,Varney Air Lines,Air,Stearman C-38,No category,United States,"Boise, ID - Pasco, WA",1 ,1 ,0,While attempting to make an emergency landing on the Minam river the mail plane hit a bolder killing the pilot.
176,January,25,1929,not c,Unknown,Unknown,Aeroespresso,No category,CMASA Wal,No category,Greece,Brindisi - Athens - Istanbul,9 ,2 ,0,The passenger plane diverted off Kerkira in the Ionian Sea due to poor weather conditions and thunderstoms and sank in rough seas.
177,January,31,1929,not c,Unknown,Unknown,Skyline Transportation Company,Transport,Travel Air 4000,No category,United States,Unknown,1 ,1 ,0,"While attempting to land, the aircraft overran the runway and hit the perimeter fence."
178,January,31,1929,not c,Unknown,Unknown,Aeropostale,No category,Latecoere 26,No category,Off Morocco,Agadir - Casablanca,2 ,2 ,0,"While cruising along the coast, the mail plane crashed into the Atlantic Ocean for unknown reasons."
179,March,17,1929,not c,17,00,Colonial Western Airlines,Air,Ford 5-AT-B Tri Motor,No category,United States,Sightseeing,15 ,14 ,0,The plane was making the last of a number of sightseeing flights when two of it's three engines failed. The plane stalled and went out of control at an altitude of 200 ft. and crashed into a railroad freight car. Engine failure followed by a stall during an emergency landing attempt.
180,March,30,1929,not c,09,18,New Standard Airlines,Air,Fokker F-VIIA,No category,United States,Los Angeles - Phoenix - El Paso,4 ,4 ,0,"The aircraft crashed into a high mountain ridge, exploding on impact. Investigators speculated that upon encountering fog and winds in the treacherous mountain pass, the pilot may have turned the airliner around and was heading back to the airport when the crash occurred."
181,April,21,1929,not c,11,45,Maddux Airlines / Military - U.S.Army Air Force,Military,Ford 5-AT-B Tri-Motor / B-PW-9D,No category,United States,San Diego - Phoenix,6 ,6 ,0,"A midair collision occurred  with a US Air Force Boeing PW-9D at 2,000 ft.  Five killed on the Tri-motor, one on the Boeing. Army pilot Lieutenant Howard Keefer, while flying above the airliner, was stunting and performed a steep banking turn downward, in an attempt to pass in front of the airliner. Instead, he misjudged the speed of the Maddux aircraft and his diving plane struck the cockpit of the Ford Tri-motor.  He was found criminally negligent."
182,May,09,1929,not c,Unknown,Unknown,Mexicana,No category,Ford Tri-motor 4,No category,Mexico,"Tampico - Brownsville, TX",5 ,5 ,0,"An engine failed, the plane stalled and crashed."
183,May,18,1929,not c,Unknown,Unknown,MALERT,No category,Fokker F-III,No category, Pest Hungary,Unknown,2 ,2 ,0,A wing separated in flight and the plane crashed.
184,May,22,1929,not c,Unknown,Unknown,Aeropostale,No category,Cams 53,No category,Algiers,Algiers - Marseille,6 ,4 ,0,The plane collided with a submerged object while taking off.
185,June,13,1929,not c,08,00,Pan American Airways,Air,Fokker F-X,No category,Cuba,Santiago de Cuba - Havana,5 ,2 ,0,"Crashed while taking off. The muddy field prevented the aircraft from gaining altitude. The plane hit telephone wires and crashed. The plane was named ""Christopher Columbus""."
186,June,14,1929,not c,Unknown,Unknown,Aeropostale,No category,Breguet 14,No category,Spain,Janeiro - Buenos Aires,2 ,1 ,0,"Took off, lost power and altitude and crashed into a telegraph tower."
187,June,17,1929,not c,11,30,Imperial Airways,Air,Handley Page W-10,No category,England,London - Paris - Basil - Zuric,13 ,7 ,0,"The plane was over the English Channel, approximately 3 miles offshore, when an engine failed. The pilot attempted to return to the airport but the plane ditched into the English Channel. Failure of a connecting rod on a cylinder due to fatigue.The plane was named ""City of Ottawa."""
188,June,24,1929,not c,Unknown,Unknown,Northwest Orient Airlines,Air,Ford 5-AT-B Tri-Motor,No category,United States,St. Paul - Minneapolis,8 ,1 ,0,All three engines failed shortly after takeoff causing the plane to stall and crash near Indian Mounds park.
189,June,29,1929,not c,21,00,Bodensee Aerolloyd,No category,Domier Delphin III (flying boat),No category,Germany,Unknown,5 ,5 ,0,The seaplane crashed into lake Constance while attempting to landing. The landing was hard and the plane broke in two and sank.
190,June,29,1929,not c,Unknown,Unknown,Continental Air Lines,Air,Travel Air 4000,No category,United States,Unknown,1 ,1 ,0,The mail plane crashed into an antenna mast in fog and low visibility and burned.
191,August,11,1929,not c,Unknown,Unknown,Middle States Airlines,Air,Lockheed 5 Vega,Cessna,United States,Unknown,4 ,4 ,0,"The just manufactured aircraft was on its way to be delivered to its new owner with  four employees of Lockheed,  two pilots and two engineers when it crashed under unknown circumstances."
